Date,ID,Metric,CallPct,PutPct,TotalVol
2026-02-20,AUD,NOTIONAL,73%,27%,13942560.0
2026-02-20,AUD,OPEN INT.,41%,59%,886898255.0
2026-02-20,AUD,≤ 1W,70%,30%,18685920.0
2026-02-20,AUD,> 1W,41%,59%,31276951.0
2026-02-20,CAD,NOTIONAL,39%,61%,149501415.0
2026-02-20,CAD,OPEN INT.,47%,53%,348487890.0
2026-02-20,CAD,≤ 1W,46%,54%,117438750.0
2026-02-20,CAD,> 1W,65%,35%,198716885.0
2026-02-20,CHF,NOTIONAL,32%,68%,13722104.0
2026-02-20,CHF,OPEN INT.,48%,52%,179896626.0
2026-02-20,CHF,≤ 1W,31%,69%,13069554.0
2026-02-20,CHF,> 1W,2%,98%,113660654.0
2026-02-20,EUR,NOTIONAL,41%,59%,2412426003.0
2026-02-20,EUR,OPEN INT.,39%,61%,3840127179.0
2026-02-20,EUR,≤ 1W,33%,67%,2616424466.0
2026-02-20,EUR,> 1W,49%,51%,4465850530.0
2026-02-20,GBP,NOTIONAL,7%,93%,77798189.0
2026-02-20,GBP,OPEN INT.,36%,64%,456785220.0
2026-02-20,GBP,≤ 1W,7%,93%,77033063.0
2026-02-20,GBP,> 1W,15%,85%,284359203.0
2026-02-20,JPY,NOTIONAL,69%,31%,171504202.0
2026-02-20,JPY,OPEN INT.,75%,25%,634731520.0
2026-02-20,JPY,≤ 1W,74%,26%,198325971.0
2026-02-20,JPY,> 1W,73%,27%,351511145.0
2026-02-23,AUD,NOTIONAL,41%,59%,35524532.0
2026-02-23,AUD,OPEN INT.,41%,59%,919179574.0
2026-02-23,AUD,≤ 1W,24%,76%,74728896.0
2026-02-23,AUD,> 1W,3%,97%,454237731.0
2026-02-23,CAD,NOTIONAL,64%,36%,1608750.0
2026-02-23,CAD,OPEN INT.,47%,53%,349763480.0
2026-02-23,CAD,≤ 1W,60%,40%,3142440.0
2026-02-23,CAD,> 1W,57%,43%,32624910.0
2026-02-23,CHF,NOTIONAL,57%,43%,10537434.0
2026-02-23,CHF,OPEN INT.,49%,51%,189411909.0
2026-02-23,CHF,≤ 1W,62%,38%,9067170.0
2026-02-23,CHF,> 1W,79%,21%,328450720.0
2026-02-23,EUR,NOTIONAL,66%,34%,352063156.0
2026-02-23,EUR,OPEN INT.,41%,59%,4114984965.0
2026-02-23,EUR,≤ 1W,54%,46%,582625591.0
2026-02-23,EUR,> 1W,69%,31%,2310975209.0
2026-02-23,GBP,NOTIONAL,50%,50%,13825200.0
2026-02-23,GBP,OPEN INT.,36%,64%,470808196.0
2026-02-23,GBP,≤ 1W,47%,53%,52603200.0
2026-02-23,GBP,> 1W,74%,26%,350036227.0
2026-02-23,JPY,NOTIONAL,72%,28%,57456096.0
2026-02-23,JPY,OPEN INT.,74%,26%,691623285.0
2026-02-23,JPY,≤ 1W,81%,19%,95322291.0
2026-02-23,JPY,> 1W,58%,42%,464276373.0
2026-02-24,AUD,NOTIONAL,76%,24%,52003600.0
2026-02-24,AUD,OPEN INT.,42%,58%,946636640.0
2026-02-24,AUD,≤ 1W,61%,39%,55209200.0
2026-02-24,AUD,> 1W,48%,52%,244988800.0
2026-02-24,CAD,NOTIONAL,55%,45%,2411720.0
2026-02-24,CAD,OPEN INT.,47%,53%,349689880.0
2026-02-24,CAD,≤ 1W,55%,45%,6281440.0
2026-02-24,CAD,> 1W,52%,48%,43890700.0
2026-02-24,CHF,NOTIONAL,73%,27%,1781450.0
2026-02-24,CHF,OPEN INT.,49%,51%,190921614.0
2026-02-24,CHF,≤ 1W,73%,27%,1781450.0
2026-02-24,CHF,> 1W,26%,74%,8107814.0
2026-02-24,EUR,NOTIONAL,6%,94%,403101226.0
2026-02-24,EUR,OPEN INT.,38%,62%,4435902040.0
2026-02-24,EUR,≤ 1W,29%,71%,640639125.0
2026-02-24,EUR,> 1W,52%,48%,1210413810.0
2026-02-24,GBP,NOTIONAL,32%,68%,31310064.0
2026-02-24,GBP,OPEN INT.,36%,64%,501231765.0
2026-02-24,GBP,≤ 1W,36%,64%,47425779.0
2026-02-24,GBP,> 1W,32%,68%,56806266.0
2026-02-24,JPY,NOTIONAL,61%,39%,50363632.0
2026-02-24,JPY,OPEN INT.,74%,26%,731198484.0
2026-02-24,JPY,≤ 1W,86%,14%,127555125.0
2026-02-24,JPY,> 1W,53%,47%,445795240.0
