Date,Asset,Type,Month,Sett_PC,Change,Vol,OI,Delta
2026-03-13,GOLD,ALL,MAR26,5052,-63,479.0,2865.0,318.0
2026-03-13,GOLD,RET,MAR26,5052,-63,0,0,0
2026-03-13,GOLD,ALL,APR26,5062,-64,197555.39,208636.81999999998,-5262.469999999999
2026-03-13,GOLD,RET,APR26,5062,-64,37222.39,6581.82,41.53
2026-03-13,GOLD,ALL,MAY26,5080,-64,707.0,897.0,-49.0
2026-03-13,GOLD,RET,MAY26,5080,-64,0,0,0
2026-03-13,GOLD,ALL,JUN26,5099,-65,25320.66,148412.82,5839.889999999999
2026-03-13,GOLD,RET,JUN26,5099,-65,869.6600000000001,2144.82,59.89000000000001
2026-03-13,GOLD,ALL,JUL26,5118,-65,425.0,191.0,2.0
2026-03-13,GOLD,RET,JUL26,5118,-65,0,0,0
2026-03-13,GOLD,ALL,AUG26,5137,-66,5861.2,51582.049999999996,-161.79000000000002
2026-03-13,GOLD,RET,AUG26,5137,-66,349.2,1161.05,2.21
2026-03-13,GOLD,ALL,SEP26,5156,-66,26.0,59.0,1.0
2026-03-13,GOLD,RET,SEP26,5156,-66,0,0,0
2026-03-13,GOLD,ALL,OCT26,5174,-66,1042.32,5525.37,67.31
2026-03-13,GOLD,RET,OCT26,5174,-66,10.32,93.37,1.31
2026-03-13,GOLD,ALL,NOV26,5191,-66,0.0,71.0,0.0
2026-03-13,GOLD,RET,NOV26,5191,-66,0,0,0
2026-03-13,GOLD,ALL,DEC26,5210,-66,2101.0,14526.17,273.11
2026-03-13,GOLD,RET,DEC26,5210,-66,21.000000000000004,433.17,3.11
2026-03-13,GOLD,ALL,JAN27,5230,-66,6.0,70.0,-3.0
2026-03-13,GOLD,RET,JAN27,5230,-66,0,0,0
2026-03-13,GOLD,ALL,FEB27,5247,-66,166.4,354.0,-14.9
2026-03-13,GOLD,RET,FEB27,5247,-66,6.4,26.0,0.1
2026-03-13,GOLD,ALL,MAR27,5264,-66,0.0,4.0,0.0
2026-03-13,GOLD,RET,MAR27,5264,-66,0,0,0
