Date,Type,Month,Sett_PC,Change,Vol,OI,Delta
2026-02-27,ALL,MAR26,2634.70,-45.90,249093.3,408820.5,3460.6
2026-02-27,RET,MAR26,2634.70,-45.90,11427.300000000001,3388.5,0.6000000000000001
2026-02-27,ALL,JUN26,2652.20,-46.20,903.3,1145.2,95.0
2026-02-27,RET,JUN26,2652.20,-46.20,93.30000000000001,104.2,6.0
2026-02-27,ALL,SEP26,2676.80,-46.80,0.0,6.300000000000001,0.0
2026-02-27,RET,SEP26,2676.80,-46.80,0.0,2.3000000000000003,0.0
2026-02-27,ALL,MAR27,2716.80,-47.50,0.0,0.2,0.0
2026-02-27,RET,MAR27,2716.80,-47.50,0.0,0.2,0.0
2026-02-27,OPT,FEB26,5.44,-,914,0,568
2026-02-27,OPT,MAR26,2.06,-,9851,-8472,792
2026-02-27,OPT,APR26,3.26,-,766,-2037,-405
2026-02-27,OPT,MAY26,0.11,-,190,249,154
2026-02-27,OPT,JUN26,0.22,-,109,-4015,-4
2026-02-27,OPT,SEP26,0.60,-,8,-1006,1
2026-02-27,OPT,DEC26,0.00,-,118,-2052,-53
2026-02-27,OPT,JUN27,0.00,-,49,-80,-49
2026-03-02,ALL,MAR26,2657.90,+23.20,312184.8,403928.6,-4059.3
2026-03-02,RET,MAR26,2657.90,+23.20,17802.8,3350.6000000000004,-37.300000000000004
2026-03-02,ALL,JUN26,2675.50,+23.30,1480.0,1276.9,131.7
2026-03-02,RET,JUN26,2675.50,+23.30,139.0,115.9,11.700000000000001
2026-03-02,ALL,SEP26,2699.00,+22.20,3.4,9.3,3.0
2026-03-02,RET,SEP26,2699.00,+22.20,0.4,2.3000000000000003,0.0
2026-03-02,ALL,MAR27,2740.70,+23.90,0.1,0.30000000000000004,0.1
2026-03-02,RET,MAR27,2740.70,+23.90,0.1,0.30000000000000004,0.1
2026-03-02,OPT,MAR26,2.88,-,10019,-11533,-3057
2026-03-02,OPT,APR26,1.29,-,568,-2120,-72
2026-03-02,OPT,MAY26,10.60,-,58,202,-47
2026-03-02,OPT,JUN26,0.39,-,226,-4063,-48
2026-03-02,OPT,SEP26,2.50,-,21,-1015,-9
2026-03-02,OPT,DEC26,0.00,-,25,-2028,24
