Date,Type,Month,Sett_PC,Change,Vol,OI,Delta
2026-02-27,FUT,MAR26,6889.00,-31.00,1638910,1972566,-29402
2026-02-27,FUT,JUN26,6941.50,-31.25,8531,52494,1862
2026-02-27,FUT,SEP26,6994.00,-29.75,40,616,-5
2026-02-27,FUT,DEC26,7041.75,-29.75,0,730,0
2026-02-27,FUT,MAR27,7087.50,-34.00,0,2,0
2026-02-27,FUT,DEC27,7222.75,-38.00,0,81,0
2026-02-27,FUT,DEC28,7421.75,-42.00,0,20,0
2026-02-27,OPT,FEB26,1.47,-,367046.0,0.0,365608.0
2026-02-27,OPT,MAR26,2.48,-,772162.0,-1470677.0,-312128.0
2026-02-27,OPT,APR26,1.39,-,33915.0,-280707.0,-8022.0
2026-02-27,OPT,MAY26,2.05,-,17428.0,-160310.0,-265.0
2026-02-27,OPT,JUN26,1.19,-,16128.0,-143843.0,-507.0
2026-02-27,OPT,JUL26,1.69,-,3089.0,-36257.0,574.0
2026-02-27,OPT,AUG26,3.20,-,2539.0,-21626.0,12.0
2026-02-27,OPT,SEP26,4.08,-,3106.0,-52511.0,-337.0
2026-02-27,OPT,OCT26,4.88,-,141.0,-18928.0,-61.0
2026-02-27,OPT,NOV26,1.92,-,35.0,-5115.0,26.0
2026-02-27,OPT,DEC26,2.76,-,1768.0,-41681.0,-756.0
2026-02-27,OPT,JAN27,9.60,-,53.0,-1555.0,9.0
2026-02-27,OPT,FEB27,11.50,-,25.0,-1016.0,-19.0
2026-02-27,OPT,MAR27,0.14,-,385.0,-5975.0,197.0
2026-02-27,OPT,JUN27,0.00,-,18.0,-1127.0,0.0
2026-02-27,OPT,SEP27,0.00,-,69.0,-1441.0,-69.0
2026-02-27,OPT,DEC27,239.00,-,240.0,-6595.0,-94.0
